txn_id,user_id,amount,country,ip_country,txn_time,is_fraud,prev_time,time_diff_sec,high_velocity,location_mismatch,amount_deviation,high_amount,fraud_probability,risk_score,risk_bucket
T1394,1,392.8491138909639,USA,India,2024-02-01 00:01:21,0,,,0,1,0.9621441284036496,0,0.0,0,LOW
T888,1,610.6258569092444,Germany,India,2024-02-01 00:01:57,0,2024-02-01 00:01:21,36.0,1,1,1.495510775263556,0,0.0,0,LOW
T608,1,383.454791469922,Germany,India,2024-02-01 00:02:47,0,2024-02-01 00:01:57,50.0,1,1,0.9391360781417748,0,0.0,0,LOW
T1164,1,850.2501435670823,India,India,2024-02-01 00:04:16,0,2024-02-01 00:02:47,89.0,1,0,2.082385206892648,0,0.0033333333333333335,0,LOW
T2745,1,259.57054025217246,USA,Russia,2024-02-01 00:04:44,1,2024-02-01 00:04:16,28.0,1,1,0.6357256829132315,0,0.61,61,MEDIUM
T4222,1,374.1367120291716,India,Germany,2024-02-01 00:06:28,0,2024-02-01 00:04:44,104.0,1,1,0.9163147579328024,0,0.0,0,LOW
T4919,1,37.67156627232697,USA,India,2024-02-01 00:07:00,0,2024-02-01 00:06:28,32.0,1,1,0.0922630980064991,0,0.0,0,LOW
T1037,1,228.95115617433424,USA,India,2024-02-01 00:07:13,0,2024-02-01 00:07:00,13.0,1,1,0.5607343960192893,0,0.0,0,LOW
T2826,1,142.2646193108916,USA,India,2024-02-01 00:07:45,0,2024-02-01 00:07:13,32.0,1,1,0.3484265671209987,0,0.0,0,LOW
T1571,1,652.7060647052451,USA,USA,2024-02-01 00:08:30,0,2024-02-01 00:07:45,45.0,1,0,1.5985712720836278,0,0.0,0,LOW
T2711,1,50.84726612342599,Germany,Germany,2024-02-01 00:09:07,0,2024-02-01 00:08:30,37.0,1,0,0.1245322868657675,0,0.0,0,LOW
T927,1,1138.2923547395158,India,India,2024-02-01 00:10:30,0,2024-02-01 00:09:07,83.0,1,0,2.787842117478632,0,0.0,0,LOW
T1341,1,555.990360274469,USA,Germany,2024-02-01 00:15:58,0,2024-02-01 00:10:30,328.0,0,1,1.361700565616102,0,0.013333333333333334,1,LOW
T4496,1,38.67190314748156,India,India,2024-02-01 00:17:26,0,2024-02-01 00:15:58,88.0,1,0,0.0947130672614197,0,0.043333333333333335,4,LOW
T2658,2,3.690105720673507,Germany,USA,2024-02-01 00:00:05,1,,,0,1,0.0070591135451282,0,0.86,86,HIGH
T87,2,467.930648921545,India,Russia,2024-02-01 00:00:08,0,2024-02-01 00:00:05,3.0,1,1,0.8951438880130074,0,0.0,0,LOW
T1750,2,2023.3853474649188,USA,Russia,2024-02-01 00:00:58,0,2024-02-01 00:00:08,50.0,1,1,3.870703983705016,1,0.01,1,LOW
T4332,2,329.92027325986226,Germany,India,2024-02-01 00:01:03,0,2024-02-01 00:00:58,5.0,1,1,0.6311322347035712,0,0.0,0,LOW
T2489,2,321.95856233439093,Germany,Nigeria,2024-02-01 00:01:36,0,2024-02-01 00:01:03,33.0,1,1,0.6159016083500986,0,0.0,0,LOW
T278,2,352.5672792049088,USA,Nigeria,2024-02-01 00:02:08,0,2024-02-01 00:01:36,32.0,1,1,0.6744555968304696,0,0.0,0,LOW
